6966754143      F      62      16790      1
2566663563      F      23      11034      2
4214854266      N      46      12017      1
7779886474      N      80      14974      5
6028591099      F      65      15150      1
0343131541      N      21      15741      3
4579347380      N      33      16857      3
9403135232      N      45      10496      4
3038052566      M      56      12874      3
0223119002      M      40      18753      3
8836742567      F      55      10441      1
8344541084      M      27      10850      3
0610146238      F      68      18909      3
2753099169      M      32      10656      2
1394479895      N      39      18761      5
1353071110      F      80      11462      2
4923191148      M      57      19796      5
9587647480      F      58      19525      4
5755868245      M      72      18814      5
8862186963      M      62      19797      5
3854019164      M      25      19645      3
1612903874      F      32      10920      5
4307064576      M      24      17915      4
2433797581      F      58      13946      4
7006835354      F      58      10570      3
2961241966      F      65      16165      3
0308714056      F      49      15379      3
5811520083      F      25      11973      2
6798441530      N      28      15106      3
8420447479      N      54      14233      3
3504744672      F      68      14634      5
1785473699      N      73      10652      1
4595817002      M      45      10020      4
2322580537      N      36      10422      1
1854346286      M      45      11079      5
7944087221      N      75      14162      5
2334388910      F      67      14868      5
6452682448      N      30      19482      2
1746195366      N      60      12012      3
9717177412      N      43      16987      2
0788183996      F      65      18250      3
2257170142      N      42      10604      2
9732502054      M      64      15114      5
4331019231      M      29      19637      3
8703036479      M      54      10235      4
9070616370      N      75      11039      3
0673949761      N      74      10137      2
3124566539      M      75      15642      2
3333354809      N      68      12902      4
6852269985      M      51      13785      4
6736289968      M      51      13025      1
2055805586      F      40      10937      1
6157680031      N      53      15471      4
7821342446      M      69      18906      1
5507816180      N      73      19115      2
3331196048      N      49      18147      5
0256258800      F      34      17113      5
3625746723      N      39      17403      2
9324346811      N      74      17584      5
1213720056      N      64      19060      4
0011343851      N      63      13240      4
4260837660      M      44      12018      3
7566518461      F      24      10486      3
0413001260      N      30      11687      2
5412815305      N      60      11708      3
9604321506      F      50      17344      4
8216560976      F      28      10224      1
6685984607      F      64      18587      4
8576865112      N      38      12548      5
7592024353      M      49      14107      1
9270480626      F      78      19424      5
3327262451      F      70      14334      3
7545682018      M      78      15244      4
5774618024      N      50      16604      5
9461380848      F      42      14828      4
4447002239      M      76      15362      1
8356837416      N      64      17803      1
4925596793      M      71      11179      4
3584415887      N      48      11275      3
2808235204      M      58      12139      1
1589514013      F      37      11635      5
9867645255      F      59      12148      4
2102835723      M      72      14860      1
2633267859      M      48      16232      5
1546588316      F      57      17469      3
1849969367      M      54      18564      3
2819555137      N      50      18461      4
3627752825      F      61      19828      5
0934539689      N      46      16419      1
5067677779      N      23      17901      4
8805064360      M      59      15992      1
0909645399      M      48      19812      3
8038111880      F      60      19837      1
0929098209      M      57      16071      4
3261965896      F      67      19933      5
7469150957      M      27      10690      3
2900216271      M      67      10071      4
5290796530      N      31      15049      5
6365880280      F      55      19411      3
5364584354      M      78      14813      2
8481248371      N      79      15499      5
9873152529      M      33      19797      1
6340915100      M      24      14947      1
1802993135      M      25      18335      2
0765573824      F      23      17466      3
7011928083      F      64      19586      1
9380643648      M      75      10636      5
0916295459      M      43      13923      4
2059404922      N      70      10858      3
4888306485      M      58      14630      4
1297559054      F      74      16314      4
